,name,location,count
0,广东省深圳市福田区梅林街道特皓苑,"22.57263629,114.069455",1
1,广东省深圳市福田区沙头街道上沙东村,"22.52406444,114.0274783",1
2,广东省深圳市福田区沙头街道上沙东村16巷,"22.52485931,114.02906",7
3,广东省深圳市福田区沙头街道上沙东村21巷,"22.52324649,114.0282398",1
4,广东省深圳市福田区沙头街道上沙东村4巷,"22.523742,114.0265053",2
5,广东省深圳市福田区沙头街道上沙东村5巷,"22.52413947,114.0267019",3
6,广东省深圳市福田区沙头街道上沙东村6巷,"22.52420922,114.0267937",4
7,广东省深圳市福田区沙头街道上沙东村7巷,"22.5245051,114.0268346",2
8,广东省深圳市福田区沙头街道上沙东村8巷,"22.52427567,114.0270043",19
9,广东省深圳市福田区沙头街道上沙塘晏村4巷,"22.5264538,114.0276847",1
10,广东省深圳市福田区沙头街道上沙椰树村11巷,"22.53002582,114.0257126",1
11,广东省深圳市福田区沙头街道上沙椰树村7巷,"22.5295584,114.0255021",2
12,广东省深圳市福田区沙头街道上沙椰树村8巷,"22.52803512,114.0252607",3
13,广东省深圳市福田区沙头街道上沙龙秋村18巷,"22.52725417,114.0298562",1
14,广东省深圳市福田区沙头街道下沙3坊,"22.52901604,114.0212165",1
15,广东省深圳市福田区沙头街道下沙4坊,"22.52690684,114.0209612",1
16,广东省深圳市福田区沙头街道天安数码城顺泰公寓,"22.53149045,114.0281145",1
17,广东省深圳市福田区沙头街道新洲南村,"22.5248763,114.0421272",10
18,广东省深圳市福田区沙头街道沙嘴一坊,"22.52190317,114.0323337",1
19,广东省深圳市福田区沙头街道深圳锦宏旅馆,"22.52923957,114.0258204",1
20,广东省深圳市福田区沙头街道福安大厦,"22.53565196,114.0106178",2
21,广东省深圳市福田区沙头街道锦河苑,"22.52702786,114.0356751",2
22,广东省深圳市福田区沙头街道锦洲花园,"22.52880789,114.0395132",2
23,广东省深圳市福田区福保街道益田村,"22.51723205,114.0482266",2
24,广东省深圳市福田区福保街道益田村南临时建筑,"22.55659628,114.0994212",1
25,广东省深圳市福田区福田街道岗厦村东4坊,"22.53916156,114.0638992",1
26,广东省深圳市福田区福田街道岗厦村东四坊,"22.53902304,114.0643039",1
27,广东省深圳市福田区福田街道滨河大道3207号,"22.5306591,114.0752671",3
28,广东省深圳市福田区福田街道皇岗上围一村,"22.52789598,114.0577279",1
29,广东省深圳市福田区福田街道皇庭世纪,"22.52871177,114.0524425",3
30,广东省深圳市福田区福田街道金地名津,"22.51879893,114.0685509",6
31,广东省深圳市福田区莲花街道万科城市花园,"22.55913634,114.0274401",2
32,广东省深圳市福田区莲花街道金色假日名苑,"22.54887291,114.0394221",6
33,广东省深圳市福田区香蜜湖街道万科温馨家园,"22.55756958,114.0143465",1
34,广东省深圳市福田区香蜜湖街道越众小区,"22.53963221,114.0064079",1
